code;name;credits;prerequisites;corequisites;group_number;professor;day;start_hour;start_minute;end_hour;end_minute
CE1101;Introduccion a la programacion;3;;;1;SCHMIDT PERALTA JEFF;MAR;7;30;9;20
CE1101;Introduccion a la programacion;3;;;1;SCHMIDT PERALTA JEFF;JUE;7;30;9;20
CE1101;Introduccion a la programacion;3;;;2;SCHMIDT PERALTA JEFF;MAR;9;30;11;20
CE1101;Introduccion a la programacion;3;;;2;SCHMIDT PERALTA JEFF;JUE;9;30;11;20
CE1103;Algoritmos y estructuras de datos I;4;CE1101;;1;BARBOZA ARTAVIA LUIS;MAR;9;30;11;20
CE1103;Algoritmos y estructuras de datos I;4;CE1101;;1;BARBOZA ARTAVIA LUIS;JUE;9;30;11;20
CE1103;Algoritmos y estructuras de datos I;4;CE1101;;2;GAMBOA RAMIREZ SANTIAGO;MAR;15;0;16;50
CE1103;Algoritmos y estructuras de datos I;4;CE1101;;2;GAMBOA RAMIREZ SANTIAGO;JUE;15;0;16;50
CE1103;Algoritmos y estructuras de datos I;4;CE1101;;3;RAMIREZ TREJOS ELLIOTH;MIE;17;0;18;50
CE1103;Algoritmos y estructuras de datos I;4;CE1101;;3;RAMIREZ TREJOS ELLIOTH;VIE;17;0;18;50
CE1104;Fundamentos de sistemas computacionales;3;;CE1101;1;VILLEGAS LEMUS MILTON;MAR;7;30;9;20
CE1104;Fundamentos de sistemas computacionales;3;;CE1101;1;VILLEGAS LEMUS MILTON;JUE;7;30;9;20
CE1105;Principios de modelado en ingenieria;2;;;1;HERNANDEZ VASQUEZ MARCO;MAR;19;0;20;50
CE1105;Principios de modelado en ingenieria;2;;;1;HERNANDEZ VASQUEZ MARCO;JUE;19;0;20;50
CE1105;Principios de modelado en ingenieria;2;;;2;MORA ROJAS DIEGO;MAR;17;0;18;50
CE1105;Principios de modelado en ingenieria;2;;;2;MORA ROJAS DIEGO;JUE;17;0;18;50
CE1105;Principios de modelado en ingenieria;2;;;3;RIVERA MENESES MARCO;MIE;17;0;18;50
CE1105;Principios de modelado en ingenieria;2;;;3;RIVERA MENESES MARCO;VIE;17;0;18;50
CE1106;Paradigmas de programacion;3;CE2103;;1;BARBOZA ARTAVIA LUIS;MIE;9;30;11;20
CE1106;Paradigmas de programacion;3;CE2103;;1;BARBOZA ARTAVIA LUIS;VIE;9;30;11;20
CE1106;Paradigmas de programacion;3;CE2103;;2;GAMBOA RAMIREZ SANTIAGO;MAR;17;0;18;50
CE1106;Paradigmas de programacion;3;CE2103;;2;GAMBOA RAMIREZ SANTIAGO;JUE;17;0;18;50
CE2103;Algoritmos y estructuras de datos II;4;CE1103|CE1105;;1;RAMIREZ HERRERA JOSE ISAAC;MAR;7;30;9;20
CE2103;Algoritmos y estructuras de datos II;4;CE1103|CE1105;;1;RAMIREZ HERRERA JOSE ISAAC;JUE;7;30;9;20
CE2201;Laboratorio de circuitos electricos;1;FI1202;;1;ARAYA MARTINEZ LEONARDO;LUN;9;30;11;20
MA0101;Matematica general;2;;;1;AZOFEIFA CUBERO ROBERTO;MIE;15;0;17;50
MA0101;Matematica general;2;;;1;AZOFEIFA CUBERO ROBERTO;VIE;15;0;16;50
MA0101;Matematica general;2;;;2;CORDERO QUIROS MARCIAL;MAR;13;0;15;50
MA0101;Matematica general;2;;;2;CORDERO QUIROS MARCIAL;JUE;13;0;14;50
MA0101;Matematica general;2;;;3;CORDERO QUIROS MARCIAL;MAR;18;0;20;50
MA0101;Matematica general;2;;;3;CORDERO QUIROS MARCIAL;JUE;18;0;19;50
MA0101;Matematica general;2;;;4;JIMENEZ MADRIGAL JORGE;MAR;15;0;16;50
MA0101;Matematica general;2;;;4;JIMENEZ MADRIGAL JORGE;JUE;15;0;17;50
MA0101;Matematica general;2;;;5;MARRERO CALVO MARCELA;MIE;9;30;12;20
MA0101;Matematica general;2;;;5;MARRERO CALVO MARCELA;VIE;9;30;11;20
MA0101;Matematica general;2;;;6;PRENDAS ROJAS JUAN PABLO;MIE;16;0;18;50
MA0101;Matematica general;2;;;6;PRENDAS ROJAS JUAN PABLO;VIE;17;0;18;50
MA0101;Matematica general;2;;;7;QUESADA VILLALOBOS LOURDES;MIE;13;0;15;50
MA0101;Matematica general;2;;;7;QUESADA VILLALOBOS LOURDES;VIE;13;0;14;50
MA0101;Matematica general;2;;;8;RODRIGUEZ CASTRO BRYAN;MAR;16;0;18;50
MA0101;Matematica general;2;;;8;RODRIGUEZ CASTRO BRYAN;JUE;16;0;17;50
MA0101;Matematica general;2;;;9;SANCHEZ FERNANDEZ IVONNE;MIE;7;30;9;20
MA0101;Matematica general;2;;;9;SANCHEZ FERNANDEZ IVONNE;VIE;7;30;10;20
MA0101;Matematica general;2;;;10;SOLANO VARELA DANIEL JESUS;SAB;7;30;12;20
MA0101;Matematica general;2;;;11;SOLIS PALMA ANGIE;MAR;7;30;10;20
MA0101;Matematica general;2;;;11;SOLIS PALMA ANGIE;JUE;7;30;9;20
MA0101;Matematica general;2;;;12;VEGA VASQUEZ ARTURO;MAR;9;30;12;20
MA0101;Matematica general;2;;;12;VEGA VASQUEZ ARTURO;JUE;9;30;11;20
MA1102;Calculo diferencial e integral;4;MA0101;;1;CORDERO QUIROS MARCIAL;MAR;7;30;9;20
MA1102;Calculo diferencial e integral;4;MA0101;;1;CORDERO QUIROS MARCIAL;JUE;7;30;10;20
MA1102;Calculo diferencial e integral;4;MA0101;;2;ESQUIVEL SAMUDIO JEISON;MAR;17;0;19;50
MA1102;Calculo diferencial e integral;4;MA0101;;2;ESQUIVEL SAMUDIO JEISON;JUE;17;0;18;50
MA1102;Calculo diferencial e integral;4;MA0101;;3;FALLAS MONGE JUAN JOSE;MAR;18;0;20;50
MA1102;Calculo diferencial e integral;4;MA0101;;3;FALLAS MONGE JUAN JOSE;JUE;18;0;19;50
MA1102;Calculo diferencial e integral;4;MA0101;;4;GUTIERREZ MONTENEGRO MARCO VINICIO;MIE;16;0;18;50
MA1102;Calculo diferencial e integral;4;MA0101;;4;GUTIERREZ MONTENEGRO MARCO VINICIO;VIE;16;0;17;50
MA1102;Calculo diferencial e integral;4;MA0101;;5;JIMENEZ MADRIGAL JORGE;MIE;7;30;10;20
MA1102;Calculo diferencial e integral;4;MA0101;;5;JIMENEZ MADRIGAL JORGE;VIE;7;30;9;20
MA1102;Calculo diferencial e integral;4;MA0101;;6;JIMENEZ MADRIGAL JORGE;SAB;7;30;12;20
MA1102;Calculo diferencial e integral;4;MA0101;;7;LOPEZ MORA VERONICA;MIE;18;0;20;50
MA1102;Calculo diferencial e integral;4;MA0101;;7;LOPEZ MORA VERONICA;VIE;18;0;19;50
MA1102;Calculo diferencial e integral;4;MA0101;;8;MASIS FLORES DAVID;MAR;9;30;11;20
MA1102;Calculo diferencial e integral;4;MA0101;;8;MASIS FLORES DAVID;JUE;9;30;12;20
MA1102;Calculo diferencial e integral;4;MA0101;;9;MASIS FLORES DAVID;MAR;16;0;18;50
MA1102;Calculo diferencial e integral;4;MA0101;;9;MASIS FLORES DAVID;JUE;16;0;17;50
MA1102;Calculo diferencial e integral;4;MA0101;;10;MORA CASASOLA MARIA FERNANDA;MIE;17;0;19;50
MA1102;Calculo diferencial e integral;4;MA0101;;10;MORA CASASOLA MARIA FERNANDA;VIE;17;0;18;50
MA1102;Calculo diferencial e integral;4;MA0101;;11;MORA PICADO LUIS FERNANDO;MIE;9;30;12;20
MA1102;Calculo diferencial e integral;4;MA0101;;11;MORA PICADO LUIS FERNANDO;VIE;10;30;12;20
